id,parameter_set_id,source,qualifier,amount,units
411,152,Incentive,,0.0000,$/kWh
412,152,Incentive,,800.0000,$/kW
413,152,Incentive,max,50.0000,"% of cost"
414,153,Incentive,,800.0000,$/kW
415,153,Incentive,,1250.0000,$/kW
416,153,Incentive,,0.0000,$/kWh
453,167,Incentive,,0.0000,$/kWh
497,189,Incentive,,2.0000,$/W-DC
498,189,Incentive,max,15000.0000,$
499,190,Incentive,,1.0000,$/W-DC
500,190,Incentive,max,30000.0000,$
1213,451,Incentive,,75.0000,$/kW
1214,451,Incentive,,275.0000,$/kW
1215,451,Incentive,,0.0700,"$/kWh (1 year)"
1216,451,Incentive,max,1.0000,$
2512,1094,Incentive,,1.2500,$/MWh
2573,492,Incentive,,1000.0000,$/kW
2574,492,Incentive,max,3000.0000,$
2575,492,System,max,10.0000,kW
2576,493,Incentive,,1000.0000,$/kW
2577,493,Incentive,max,10000.0000,
2578,493,System,max,10.0000,kW
2662,1156,Incentive,max,250.0000,$
2663,1157,Incentive,,125.0000,$/Unit
2720,1166,Incentive,min,0.4500,"$/square foot"
2721,1167,Incentive,min,75.0000,$/ton
2722,1168,Incentive,,45.0000,$/ton
2723,1169,Incentive,,55.0000,$/ton
2724,1170,Incentive,,49.0000,$/ton
3956,164,Incentive,max,5000.0000,$
3957,165,Incentive,max,10000.0000,$
4051,51,System,max,150.0000,kW
4052,51,Incentive,,0.0000,$/kWh
4053,52,System,max,20.0000,kW
4054,52,Incentive,,0.0000,$/kW
4430,1893,System,min,500.0000,W
4431,1893,System,max,50.0000,kW
4432,1893,Incentive,,0.1300,"$/kWh (10 years)"
4800,1938,Incentive,,0.7500,$/W-AC
4801,1938,Incentive,max,3500.0000,$
4802,1939,Incentive,,0.7500,$/W-AC
4803,1939,Incentive,max,10000.0000,$
5390,135,System,min,500.0000,W
5391,135,System,max,50.0000,kW
5392,135,Incentive,,1000.0000,$/Unit
5393,135,Incentive,,0.0200,"$/kWh (10 years)"
5418,141,System,min,500.0000,W
5419,141,System,max,500.0000,kW
5420,141,Incentive,,1000.0000,$/Unit
5421,141,Incentive,,0.0000,"$/kWh (10 years)"
5699,2188,Incentive,,375.0000,$/ton
6377,1174,Incentive,,0.0400,"$/kWh (10 years)"
