id,program_id
2568,23
1570,49
1571,49
1572,49
1573,49
1574,49
1575,49
1578,50
1579,50
1580,50
1581,50
1582,50
1583,50
143,75
1765,77
1659,80
193,82
342,83
343,83
344,83
4536,83
7599,83
7600,83
2368,94
2313,118
1925,120
1926,120
1927,120
488,124
489,124
490,124
491,124
1337,124
1338,124
2448,130
5113,132
2298,135
2071,144
1188,154
2547,166
2548,166
159,173
434,180
2062,198
692,205
505,234
41,241
1480,248
1481,248
1482,248
4538,248
7585,248
7586,248
4667,314
1750,327
2005,344
2006,344
1286,352
2134,358
2135,358
1176,366
2381,378
2382,378
2383,378
474,389
6761,389
2399,404
2838,416
2009,417
2449,421
1766,453
2843,486
1187,496
1949,501
1950,501
1951,501
4359,502
4360,502
2092,506
7623,506
166,511
698,540
693,541
694,541
695,541
696,541
697,541
2106,542
228,552
229,552
230,552
1974,569
1975,569
1976,569
1977,569
1978,569
1979,569
109,589
110,589
2061,598
194,611
1175,612
1129,624
2393,630
2394,630
2395,630
2396,630
4356,630
4357,630
7060,630
7574,630
1903,631
1904,631
2086,638
2087,638
2088,638
2089,638
2090,638
2091,638
3147,638
4789,638
4790,638
876,658
1785,678
545,728
546,728
198,734
1958,738
1959,738
1317,740
5360,740
2350,756
471,846
472,846
2013,846
351,888
2110,908
2113,909
2095,910
2111,911
2107,912
2112,913
501,936
502,936
7652,936
2785,953
1186,978
2502,1084
2503,1084
2504,1084
156,1088
3115,1091
3116,1091
71,1092
4584,1106
7137,1128
7138,1128
7139,1128
7140,1128
7141,1128
7142,1128
7143,1128
5146,1142
1295,1150
2986,1151
2987,1151
2988,1151
5206,1151
5153,1158
3797,1174
1891,1176
1892,1176
1842,1177
1843,1177
154,1186
359,1206
1973,1218
431,1229
1917,1230
4,1235
2041,1239
2464,1242
36,1255
37,1255
7591,1255
7592,1255
2371,1264
458,1276
459,1276
743,1277
744,1277
2719,1289
2720,1289
5358,1289
5359,1289
7621,1289
7622,1289
540,1295
541,1295
7183,1296
7184,1296
7185,1296
7186,1296
7187,1296
7188,1296
7189,1296
2621,1300
2623,1300
5787,1300
1132,1333
1130,1335
93,1342
94,1342
95,1342
4976,1342
3021,1356
5835,1356
5836,1356
5837,1356
6663,1356
7504,1356
3380,1392
3381,1392
3383,1392
6201,1392
6202,1392
4606,1420
4607,1420
4608,1420
4609,1420
4610,1420
4611,1420
4612,1420
4613,1420
4614,1420
4615,1420
5978,1421
5982,1421
5983,1421
2787,1427
2788,1427
2790,1427
6500,1441
6501,1441
6502,1441
6503,1441
6504,1441
6505,1441
1324,1450
5985,1450
2978,1451
7165,1458
7169,1459
4792,1461
7155,1461
7156,1461
7157,1461
7158,1461
4799,1463
4800,1463
4801,1463
6145,1463
7159,1463
7160,1463
7161,1463
7081,1467
2170,1491
6729,1492
6730,1492
2725,1503
1880,1510
1881,1510
6212,1510
7566,1510
7567,1510
7568,1510
7569,1510
7570,1510
2456,1518
1585,1534
1586,1534
1587,1534
5408,1534
5409,1534
5410,1534
7257,1536
7258,1536
7259,1536
7260,1536
7261,1536
7262,1536
7113,1538
7114,1538
7115,1538
2253,1544
2254,1544
2217,1549
2218,1549
2219,1549
2220,1549
5735,1549
4358,1565
1007,1570
1008,1570
1009,1570
1010,1570
1011,1570
5622,1570
7354,1570
7355,1570
7356,1570
703,1571
704,1571
705,1571
706,1571
707,1571
708,1571
709,1571
710,1571
711,1571
5560,1572
5561,1572
804,1575
805,1575
806,1575
807,1575
809,1575
5562,1575
5563,1575
5564,1575
5565,1575
5566,1575
5567,1575
5568,1575
5569,1575
5570,1575
5571,1575
5572,1575
5573,1575
5574,1575
5575,1575
5576,1575
712,1576
713,1576
714,1576
715,1576
716,1576
717,1576
718,1576
719,1576
720,1576
721,1576
722,1576
734,1577
735,1577
736,1577
737,1577
738,1577
4836,1580
4837,1580
6258,1580
7413,1580
7414,1580
7415,1580
7416,1580
7417,1580
7418,1580
7419,1580
5025,1589
5028,1589
5032,1589
5033,1589
5034,1589
261,1590
263,1590
3824,1590
2124,1592
1749,1593
2430,1608
6125,1613
6126,1613
7306,1613
7307,1613
7308,1613
3879,1614
3880,1614
3883,1614
3884,1614
3885,1614
6089,1614
6114,1615
6115,1615
845,1623
846,1623
847,1623
848,1623
849,1623
850,1623
5613,1623
5614,1623
4164,1630
4165,1630
4166,1630
4167,1630
4168,1630
4169,1630
6082,1630
6083,1630
6084,1630
4242,1645
4884,1651
3898,1659
3901,1659
3903,1659
3904,1659
3905,1659
2316,1661
3874,1663
3876,1663
3877,1663
7228,1663
7229,1663
864,1664
865,1664
866,1664
867,1664
868,1664
4320,1665
4323,1665
7224,1665
7225,1665
7226,1665
7227,1665
857,1666
859,1666
860,1666
861,1666
863,1666
2979,1674
5861,1674
5862,1674
5365,1679
2314,1682
4343,1684
4344,1684
4345,1684
4346,1684
4050,1686
2475,1687
4290,1689
4291,1689
4292,1689
4293,1689
4294,1689
7314,1689
7315,1689
7316,1689
4804,1692
4805,1692
4806,1692
4807,1692
4809,1692
4810,1692
4825,1692
4826,1692
4827,1692
6061,1692
4847,1700
4850,1700
4348,1718
4349,1718
7217,1718
7218,1718
7219,1718
7220,1718
7221,1718
7222,1718
7223,1718
2602,1767
5844,1774
5845,1774
5085,1777
4510,1780
4511,1780
4512,1780
4513,1780
4514,1780
4515,1780
6710,1780
1280,1784
1110,1786
1111,1786
1113,1786
6069,1786
1115,1787
1116,1787
1117,1787
6070,1787
7317,1788
7318,1788
7319,1788
7320,1788
7321,1788
7322,1788
7323,1788
7324,1788
7325,1788
7326,1788
7327,1788
448,1801
450,1801
1774,1803
1781,1804
1784,1805
3681,1806
3682,1806
3684,1806
3685,1806
3686,1806
3687,1806
2758,1807
5821,1807
3669,1808
7610,1808
7611,1808
7612,1808
3947,1810
3948,1810
3949,1810
3950,1810
3951,1810
3952,1810
3953,1810
3954,1810
3955,1810
3956,1810
3957,1810
6085,1810
106,1811
107,1811
4974,1811
4975,1811
7083,1811
5873,1812
5874,1812
5875,1812
5876,1812
5877,1812
5878,1812
5879,1812
5880,1812
2017,1830
3667,1831
3668,1831
2458,1837
3958,1867
3959,1867
3961,1867
3963,1867
6094,1867
3866,1882
3867,1882
3868,1882
3869,1882
3870,1882
3871,1882
6090,1882
3920,1885
3921,1885
3922,1885
3926,1885
3980,1894
3981,1894
3982,1894
3983,1894
3985,1894
3987,1894
3988,1894
6105,1894
6106,1894
3995,1896
3996,1896
3997,1896
3999,1896
4000,1896
6113,1896
4176,1897
4177,1897
4178,1897
4179,1897
4180,1897
4183,1897
4184,1897
7293,1897
7294,1897
7295,1897
7296,1897
